Well Number,Well Name,Bottomhole X,Bottomhole Y,Co [MSTB],Cw (bbl),POROS,KX,KY,TD(MD),Cg (mmcf),P_2020-1-6,P_2029-1-1,RQI,Pressure_Drawdown,OGR,Facies_1,Facies_2,Facies_3,Facies_4,Facies_5
36,PO1_36,1012.81,5933.16,116.339,0.000338819,0.174660999,0.038391848,0.038391848,8474.8,281.8970253,3466.456371,2525.928295,1.121821008639759,940.528076,0.4127003464339146,False,True,False,False,False
37,PO1_37,11430.25,5933.16,32.6584,0.00011303,0.13541494,0.013927233,0.013927233,8552.5,92.6845392,3492.23681,2713.90888,0.8714968847413472,778.3279299999999,0.3523608174770965,False,False,True,False,False
38,PO1_38,12877.11,5933.16,11.742,3.06e-05,0.08009582,0.004137276,0.004137276,8602.0,26.930277,3508.660641,3234.824508,0.8030588915417705,273.8361329999998,0.43601482450403317,False,False,False,False,True
39,PO1_39,1012.81,3328.8,92.7919,7.83e-05,0.09718876,0.009498555,0.009498555,8518.2,73.28279607,3480.856256,3036.08941,1.0027963158764137,444.766846,1.2662166971817619,False,False,False,True,False
40,PO1_40,10272.76,3328.8,12.1261,2.81e-05,0.090697479,0.003991443,0.003991443,8562.4,33.09333951,3495.521576,3145.315374,0.6965779937524831,350.2062020000003,0.3664211644864607,False,False,False,False,True
41,PO1_41,11430.25,3328.8,9.91929,1.71e-05,0.086673781,0.002783978,0.002783978,8595.9,23.41547597,3506.636694,3216.81311,0.608758666657427,289.82358399999976,0.4236211133486517,False,False,False,False,True
42,PO1_42,8825.89,3328.8,79.6788,3.18e-05,0.092924202,0.004627142,0.004627142,8528.1,45.59822432,3484.141022,3128.348835,0.7320277985051423,355.792187,1.7474101500275263,False,False,False,False,True
43,PO1_43,7668.4,3328.8,100.765,0.000154823,0.122934579,0.017898317,0.017898317,8506.8,129.5022355,3477.073798,2888.031416,1.088258428805794,589.0423820000001,0.7780946762112071,False,False,True,False,False
44,PO1_44,2459.67,3328.8,103.7456,0.000866639,0.132720181,0.026013504,0.026013504,8483.9,193.0864426,3469.475702,2781.017108,1.2152411369645857,688.4585940000002,0.5373013174980934,False,False,True,False,False
45,PO1_45,6221.53,3328.8,107.1861,21.9822,0.157091518,0.03895556,0.03895556,8487.7,167.5484039,3470.736521,2509.917063,1.2564117508044539,960.8194579999999,0.6397321460846216,False,False,True,False,False
46,PO1_46,12877.11,3328.8,0.0464458,92.602,0.141312622,0.038350271,0.038350271,8645.4,0.084350217,3523.060526,2659.648417,1.3858086377846506,863.4121090000003,0.5506304743709195,False,False,True,False,False
47,PO1_47,14034.61,3328.8,0.0,87.5774,0.14375498,0.038000427,0.038000427,8691.2,0.0,3538.256717,2515.127738,1.3560363760962815,1023.1289790000001,,False,False,True,False,False
48,PO1_48,3617.17,3328.8,105.355,0.000337347,0.176189801,0.04167406,0.04167406,8474.8,389.0444085,3466.456371,2663.634642,1.158649667371001,802.8217290000002,0.2708045603487963,False,True,False,False,False
49,PO1_49,5064.04,3328.8,112.4416,0.000365909,0.176578203,0.042638921,0.042638921,8478.6,337.4950374,3467.717191,2464.4939,1.169407864627485,1003.2232910000002,0.33316519515732584,False,True,False,False,False
50,PO1_50,3617.17,724.43,70.304,0.000493659,0.188994002,0.0556852,0.0556852,8559.4,304.6706784,3494.526192,2443.862618,1.2485958021817565,1050.6635739999997,0.23075407311660748,True,False,False,False,False
51,PO1_51,6221.53,724.43,70.127,0.000380943,0.177060601,0.04498432,0.04498432,8572.3,262.3527654,3498.806342,2583.987787,1.197867124722517,914.8185549999998,0.26730040330651683,True,False,False,False,False
52,PO1_52,1012.81,724.43,79.6995,0.000283432,0.1667068,0.034240802,0.034240802,8602.8,182.0894477,3508.926077,2617.939554,1.1099889337421354,890.986523,0.43769422669296176,False,True,False,False,False
53,PO1_53,8825.89,724.43,37.6031,0.000132898,0.138818562,0.016376683,0.016376683,8612.7,81.81682498,3512.210843,2675.45806,0.9218609740165339,836.7527829999999,0.45960106627447367,False,False,True,False,False
54,PO1_54,11430.25,724.43,30.9842,0.000104636,0.122455761,0.012991589,0.012991589,8680.5,44.307406,3534.706515,2868.429562,0.9307904416753806,666.276953,0.6993006993006994,False,False,True,False,False
55,PO1_55,14034.61,724.43,12.4821,3.53e-05,0.085373021,0.004626775,0.004626775,8775.7,4.77814788,3566.293359,3210.405615,0.7967435210165432,355.88774399999966,2.6123301985370952,False,False,False,False,True
